stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"200039","200039","Central Station, Eddy Av, Stand A","-33.8822064874687","151.20666465471","","200060","0",""
"200054","200054","Central Station, Eddy Av, Stand D","-33.8820421431408","151.20699145565","","200060","0",""
"200060","","Central Station","-33.8840842535493","151.206292455081","1","","0",""
"201510","","Redfern Station","-33.8916900512711","151.198866071817","1","","0",""
"201646","201646","Redfern Station, Gibbons St, Stand B","-33.8933293130144","151.198881722942","","201510","0",""
"204230","204230","St Peters Station, King St","-33.9063142029908","151.181117167927","","204410","0",""
"204311","204311","King St Opp St Peters Station","-33.9064227004899","151.181371008764","","204410","0",""
"204313","204313","Erskineville Rd At Charles St","-33.8997132561368","151.184727384289","","G204313","0",""
"204320","204320","Erskineville Rd At Prospect St","-33.8996853464514","151.183958865838","","G204320","0",""
"204410","","St Peters Station","-33.9072729813888","151.180742630338","1","","0",""
"204420","","Sydenham Station","-33.914744895685","151.166064870029","1","","0",""
"204424","204424","Princes Hwy After Gannon St","-33.9248434613655","151.160526263987","","G204424","0",""
"204442","204442","Princes Hwy At Fanning St","-33.924336037387","151.161409442477","","G204442","0",""
"2076119","2076119","Malsbury Rd Opp Normanhurst Station","-33.7203735971993","151.097147590855","","207620","0",""
"207620","","Normanhurst Station","-33.7208266271426","151.097072104535","1","","0",""
"207652","207652","Normanhurst Station, Malsbury Rd","-33.7208704284853","151.096567397243","","207620","0",""
"207720","","Hornsby Station","-33.7034747936335","151.098359728641","1","","0",""
"2077277","2077277","Hornsby Station, George St","-33.703567008899","151.098838462491","","207720","0",""
"207760","207760","Hornsby Station, Stand D","-33.7033664270727","151.098095839332","","207720","0",""
"211410","","Denistone Station","-33.7996262541525","151.086928246926","1","","0",""
"2114167","2114167","East Pde Opp Denistone Station","-33.7992095112052","151.08672492897","","211410","0",""
"2114168","2114168","Denistone Station, Gordon Cres","-33.7992084952578","151.08702707723","","211410","0",""
"211420","","West Ryde Station","-33.8071947624273","151.090192175429","1","","0",""
"211424","211424","West Ryde Station, Stand A","-33.8070913645119","151.089507242951","","211420","0",""
"211430","","Meadowbank Station","-33.8157935580624","151.09010554566","1","","0",""
"211431","211431","Meadowbank Station, Constitution Rd","-33.815855949662","151.09093972172","","211430","0",""
"211910","","Beecroft Station","-33.7492723344495","151.066606678026","1","","0",""
"211918","211918","Beecroft Station, Wongala Cres","-33.7497815970092","151.065918842221","","211910","0",""
"211920","","Cheltenham Station","-33.7556115113385","151.078459666252","1","","0",""
"211978","211978","Wongala Cres Opp Beecroft Station","-33.7496588433782","151.065815959603","","211910","0",""
"211979","211979","The Crescent Opp Cheltenham Station","-33.7558067647237","151.078005073827","","211920","0",""
"212010","","Thornleigh Station","-33.7318969534448","151.078155078868","1","","0",""
"2120117","2120117","Yarrara Rd Opp Pennant Hills Station","-33.7380308885334","151.071953175887","","212020","0",""
"212020","","Pennant Hills Station","-33.737912006367","151.072551513966","1","","0",""
"212051","212051","The Esplanade Opp Thornleigh Station","-33.7314553253403","151.077886114363","","212010","0",""
"212052","212052","Thornleigh Station, The Esplanade","-33.7316234076858","151.07798035267","","212010","0",""
"212110","","Epping Station","-33.7727654574252","151.08205734888","1","","0",""
"212111","212111","Epping Station, Beecroft Rd, Stand C","-33.773056908094","151.081963300027","","212110","0",""
"212112","212112","Epping Station, Beecroft Rd, Stand H","-33.773243258282","151.081777942014","","212110","0",""
"212183","212183","Epping Station, Cambridge St, Stand A","-33.7722271805488","151.082258354296","","212110","0",""
