,Original Name,New Name
0,Trinity Anglican College (Albury),Trinity Anglican College - Albury
1,Central Coast Grammar School (Erina Heights),Central Coast Grammar School
2,Smith's Hill High School,Smiths Hill High School
3,Redlands,SCECGS Redlands
4,"St Vincent's College,Potts Point,NSW,2011",St Vincent's College
5,"All Saints Grammar School,Belmore,NSW,2192",All Saints Grammar
6,St Clare's College (Waverley),St Clare's College
7,"St Philip's Christian College,Salamander Bay,NSW,2317",St Philip's Christian College - Port Stephens
8,Trinity Catholic College (Lismore),"Trinity Catholic College Lismore, St Joseph's Campus"
9,Xavier Catholic College,Xavier Catholic College Ballina
10,St Andrew's Cathedral School (Sydney),St Andrew's Cathedral School
11,Oakhill College Castle Hill,Oakhill College
12,St Patrick's Marist College (Dundas),St Patrick's Marist College
13,"MacKillop College,Port Macquarie,NSW,2444",MacKillop College Port Macquarie
14,Danebank - An Anglican School For Girls,Danebank - An Anglican School for Girls
15,"Al-Faisal College,Auburn,NSW,2144",Al-Faisal College
16,St Columba's Catholic College (Springwood),St Columba's Catholic College
17,Trinity Grammar School (Summer Hill),Trinity Grammar School
18,Northern Beaches Christian School (Terrey Hills),Northern Beaches Christian School
19,St Ignatius' College,
20,"St John XXIII Catholic College,Stanhope Gardens,NSW,2768",St John XXIII Catholic College (Secondary)
21,International Grammar School (Ultimo),International Grammar School
22,"Calrossy Anglican School,East Tamworth,NSW,2340",Calrossy Anglican School
23,St Charbel's College (Punchbowl),St Charbel's College
24,Illawarra Christian School (Cordeaux Campus),Illawarra Christian School
25,St Catherine's School (Waverley),St Catherine's School
26,St Ursula's College (Kingsgrove),St Ursula's College
27,Broughton Anglican College (Menangle Park),Broughton Anglican College
28,Newington College (Stanmore),Newington College
29,Marist College Penshurst,Marist Catholic College Penshurst
30,"St Mark's Coptic Orthodox College,Wattle Grove,NSW,2173",St Mark's Coptic Orthodox College
31,De La Salle Catholic College (Caringbah),"De La Salle Catholic College, Caringbah"
32,"Chevalier College Bowral,Burradoo",Chevalier College
33,"St Francis Catholic College,Edmondson Park,NSW,2174",St Francis Catholic College
34,Christian Brothers High School Lewisham,Christian Brothers' High School Lewisham
35,Freeman Catholic College (Bonnyrigg Heights),Freeman Catholic College
36,St Mary's Cathedral College (Sydney),St Mary's Cathedral College
37,Malek Fahd Islamic School (Greenacre),Malek Fahd Islamic School
38,Canberra Grammar School,
39,"St Augustine's College,Brookvale,NSW,2100",St Augustine's College Sydney
40,Parramatta Marist High School (Westmead),Parramatta Marist High School
41,Amity College,"Amity College, Prestons"
42,Macquarie College (Wallsend),Macquarie College
43,St Patrick's College (Sutherland),St Patrick's College Sutherland
44,"St Joseph's College,Hunters Hill,NSW,2110",St Joseph's College
45,"St Philip's Christian College,Waratah,NSW,2298",St Philip's Christian College - Waratah
46,Bethany College (Hurstville),Bethany College
47,"Al-Faisal College,Austral,NSW,2179",Al-Faisal College - Liverpool
48,St George Christian School (Hurstville),St George Christian School
49,St John Bosco College (Engadine),St John Bosco College
50,Penrith Selective High School,Penrith High School
