ACARA ID,School Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent School ID,AGE ID,Latitude,Longitude,StateProvinceID
44003,A.G.B.U. Alexander Primary School,Duffys Forest,NSW,2084,Primary,Non-Gov,Open,Major Cities,44003,53399,-33.67679,151.18715,77004_00
40987,Abbotsford Public School,Abbotsford,NSW,2046,Primary,Gov,Open,Major Cities,40987,44402,-33.8527,151.131,1001
43762,Abbotsleigh,Wahroonga,NSW,2076,Combined,Non-Gov,Open,Major Cities,43762,41302,-33.7199,151.111,10968_00
52056,Abbotsleigh Junior School,Wahroonga,NSW,2076,Primary,Non-Gov,Open,Major Cities,43762,,-33.7162,151.113,10968_01
41852,Aberdeen Public School,Aberdeen,NSW,2336,Primary,Gov,Open,Inner Regional,41852,49333,-32.1661,150.888,1002
41853,Abermain Public School,Abermain,NSW,2326,Primary,Gov,Open,Major Cities,41853,49299,-32.8089,151.426,1003
42715,Adaminaby Public School,Adaminaby,NSW,2629,Primary,Gov,Open,Outer Regional,42715,50425,-35.9933,148.777,1007
41854,Adamstown Public School,Adamstown,NSW,2289,Primary,Gov,Open,Major Cities,41854,49043,-32.9322,151.731,1008
42530,Adelong Public School,Adelong,NSW,2729,Primary,Gov,Open,Inner Regional,42530,50667,-35.3123,148.063,1009
43780,Aetaomah School,Terragon,NSW,2484,Combined,Non-Gov,Open,Inner Regional,43780,55898,-28.4591,153.27,77642_00
41594,Airds High School,Campbelltown,NSW,2560,Secondary,Gov,Open,Major Cities,41594,46504,-34.0869,150.827,8493
41548,Ajuga School,Glenfield,NSW,2167,Special,Gov,Open,Major Cities,41548,56152,-33.9695,150.878,5748
43919,Al Amanah College,Liverpool,NSW,2170,Combined,Non-Gov,Open,Major Cities,43919,77397,-33.929,150.922,77800_00
43852,"Al Amanah College, Bankstown campus",Bankstown,NSW,2200,Primary,Non-Gov,Open,Major Cities,43919,55684,-33.9172,151.028,77800_01
50603,Al Hikma College,Lakemba,NSW,2195,Primary,Non-Gov,Open,Major Cities,50603,69666,-33.9262,151.081,78005_00
43958,Al Noori Muslim School,Greenacre,NSW,2190,Primary,Non-Gov,Open,Major Cities,43958,53329,-33.9118,151.05,77003_00
40979,Al Noori Muslim School - Senior Campus,Greenacre,NSW,2190,Secondary,Non-Gov,Open,Major Cities,43958,77580,-33.9112,151.049,77003_01
43741,Al Sadiq College,Greenacre,NSW,2190,Combined,Non-Gov,Open,Major Cities,43741,58093,-33.9099,151.056,77807_00
40720,Al Sadiq College Yagoona Campus,Yagoona,NSW,2199,Primary,Non-Gov,Open,Major Cities,43741,77542,-33.9041,151.024,77807_01
43946,Al Zahra College,Arncliffe,NSW,2205,Combined,Non-Gov,Open,Major Cities,43946,54651,-33.9337,151.148,77657_00
42339,Albert Park Public School,East Lismore,NSW,2480,Primary,Gov,Open,Inner Regional,42339,49776,-28.8216,153.272,4177
42936,Albion Park High School,Albion Park,NSW,2527,Secondary,Gov,Open,Major Cities,42936,54950,-34.5767,150.773,8586
42716,Albion Park Public School,Albion Park,NSW,2527,Primary,Gov,Open,Major Cities,42716,50020,-34.5703,150.773,1015
42861,Albion Park Rail Public School,Albion Park,NSW,2527,Primary,Gov,Open,Major Cities,42861,50021,-34.5676,150.799,4121
42689,Albury High School,Albury,NSW,2640,Secondary,Gov,Open,Inner Regional,42689,50438,-36.0728,146.915,8101
42654,Albury North Public School,Albury,NSW,2640,Primary,Gov,Open,Inner Regional,42654,50440,-36.0642,146.932,3922
42531,Albury Public School,Albury,NSW,2640,Primary,Gov,Open,Inner Regional,42531,50441,-36.0825,146.919,1017
42532,Albury West Public School,Albury,NSW,2640,Primary,Gov,Open,Inner Regional,42532,50442,-36.0778,146.896,1019
42356,Aldavilla Public School,Yarravel,NSW,2440,Primary,Gov,Open,Inner Regional,42356,56175,-31.0558,152.787,4601
40724,Alesco Secondary College,Cooks Hill,NSW,2300,Special,Non-Gov,Open,Major Cities,40724,58110,-32.9294,151.768,77783_00
53001,Alesco Secondary College - Charlestown Campus,Charlestown,NSW,2290,Special,Non-Gov,Open,Major Cities,40724,87662,-32.96278368,151.6928001,77783_06
52306,Alesco Secondary College - Coast Campus,Tuncurry,NSW,2428,Special,Non-Gov,Open,Inner Regional,40724,77702,-32.1793,152.5,77783_02
52891,Alesco Secondary College - Northlakes Campus,Argenton,NSW,2284,Special,Non-Gov,Open,Major Cities,40724,87663,-32.93757,151.63106,77783_05
52307,Alesco Secondary College - Raymond Terrace Campus,Raymond Terrace,NSW,2324,Special,Non-Gov,Open,Major Cities,40724,87661,-32.764,151.742,77783_01
52612,Alesco Secondary College - Tomaree Campus,Nelson Bay,NSW,2315,Special,Non-Gov,Open,Inner Regional,40724,86562,-32.721,152.154,77783_04
52072,Alesco Secondry College - Abermain Campus,Abermain,NSW,2326,Special,Non-Gov,Open,Major Cities,40724,86389,-32.81107694,151.4315689,77783_03
41184,Alexandria Park Community School,Alexandria,NSW,2015,Combined,Gov,Open,Major Cities,41184,46425,-33.9002,151.196,8556
43952,Al-Faisal College,Auburn,NSW,2144,Combined,Non-Gov,Open,Major Cities,43952,55403,-33.8548,151.032,77671_00
53107,Al-Faisal College - Lakemba,Lakemba,NSW,2195,Primary,Non-Gov,Open,Major Cities,43952,,-33.92383288,151.0768608,77671_03
50593,Al-Faisal College - Campbelltown,Minto,NSW,2566,Combined,Non-Gov,Open,Major Cities,50593,70306,-34.0222,150.858,78140_00
51520,Al-Faisal College - Liverpool,Austral,NSW,2179,Combined,Non-Gov,Open,Major Cities,51520,70305,-33.9095,150.811,78141_00
