,0
0,De La Salle Catholic College (Caringbah)
1,Northern Beaches Christian School (Terrey Hills)
2,Redlands
3,Malek Fahd Islamic School (Greenacre)
4,"All Saints Grammar School,Belmore,NSW,2192"
5,Freeman Catholic College (Bonnyrigg Heights)
6,Central Coast Grammar School (Erina Heights)
7,St Patrick's Marist College (Dundas)
8,"St Joseph's College,Hunters Hill,NSW,2110"
9,Xavier Catholic College
10,St Andrew's Cathedral School (Sydney)
11,"St Philip's Christian College,Salamander Bay,NSW,2317"
12,Danebank - An Anglican School For Girls
13,"Al-Faisal College,Auburn,NSW,2144"
14,Christian Brothers High School Lewisham
15,St John Bosco College (Engadine)
16,Illawarra Christian School (Cordeaux Campus)
17,St Ursula's College (Kingsgrove)
18,St Charbel's College (Punchbowl)
19,Oakhill College Castle Hill
20,Trinity Anglican College (Albury)
21,Macquarie College (Wallsend)
22,"St Augustine's College,Brookvale,NSW,2100"
23,Smith's Hill High School
24,Trinity Grammar School (Summer Hill)
25,"MacKillop College,Port Macquarie,NSW,2444"
26,"Al-Faisal College,Austral,NSW,2179"
27,"Chevalier College Bowral,Burradoo"
28,International Grammar School (Ultimo)
29,Penrith Selective High School
30,St Mary's Cathedral College (Sydney)
31,Newington College (Stanmore)
32,St Patrick's College (Sutherland)
33,"St John XXIII Catholic College,Stanhope Gardens,NSW,2768"
34,"St Vincent's College,Potts Point,NSW,2011"
35,Trinity Catholic College (Lismore)
36,"St Philip's Christian College,Waratah,NSW,2298"
37,Broughton Anglican College (Menangle Park)
38,Amity College
39,St Ignatius' College
40,"St Francis Catholic College,Edmondson Park,NSW,2174"
41,St Catherine's School (Waverley)
42,Marist College Penshurst
43,"Calrossy Anglican School,East Tamworth,NSW,2340"
44,"St Mark's Coptic Orthodox College,Wattle Grove,NSW,2173"
45,St George Christian School (Hurstville)
46,Parramatta Marist High School (Westmead)
47,St Clare's College (Waverley)
48,Bethany College (Hurstville)
49,St Columba's Catholic College (Springwood)
50,Canberra Grammar School
